Taxa_Name	Taxa_Rank
root	no rank
Viruses	superkingdom
Caudovirales	order
Ackermannviridae	family
Aglimvirinae	subfamily
Limestonevirus	genus
unclassified Limestonevirus	no rank
Myoviridae	family
Peduovirinae	subfamily
Hpunavirus	genus
Peduovirus	genus
unclassified Myoviridae	no rank
Podoviridae	family
unclassified Podoviridae	no rank
Siphoviridae	family
Spbetavirus	genus
Staphylococcus epidermidis RP62A phage SP-beta	no rank
unclassified Siphoviridae	no rank
environmental samples	no rank
unclassified bacterial viruses	no rank
Streptococcus phage 10270.5	no rank
Streptococcus phage 10750.4	no rank
Streptococcus phage 9428.3	no rank
cellular organisms	no rank
Archaea	superkingdom
Asgard group	no rank
Candidatus Heimdallarchaeota	phylum
Candidatus Lokiarchaeota	phylum
Lokiarchaeum	genus
Candidatus Odinarchaeota	phylum
Candidatus Hydrothermarchaeota	no rank
environmental samples	no rank
DPANN group	no rank
Candidatus Aenigmarchaeota	phylum
Candidatus Aenigmarchaeum	genus
Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16	no rank
environmental samples	no rank
unclassified Aenigmarchaeota	no rank
Candidatus Altiarchaeota	phylum
Candidatus Altiarchaeales	order
Candidatus Altiarchaeum	genus
unclassified Candidatus Altiarchaeales	no rank
Candidatus Diapherotrites	phylum
Candidatus Iainarchaeum	genus
Candidatus Iainarchaeum andersonii SCGC AAA011-E11	no rank
unclassified Diapherotrites	no rank
Candidatus Micrarchaeota	phylum
Candidatus Mancarchaeum	genus
Candidatus Micrarchaeum	genus
Candidatus Micrarchaeum acidiphilum ARMAN-2	no rank
unclassified Candidatus Micrarchaeota	no rank
Candidatus Pacearchaeota	no rank
Candidatus Woesearchaeota	phylum
Nanoarchaeota	phylum
Nanoarchaeales	order
Nanoarchaeaceae	family
Nanoarchaeum	genus
Nanopusillaceae	family
Candidatus Nanobsidianus	genus
Candidatus Nanopusillus	genus
environmental samples	no rank
unclassified Nanoarchaeota	no rank
unclassified Nanoarchaeota (miscellaneous)	no rank
environmental samples	no rank
Euryarchaeota	phylum
